drone_id,x,y,z,time
Drone_1,63.78,32.47,1.55,18
Drone_1,92.58,36.71,10.67,19
Drone_1,48.89,94.63,18.05,20
Drone_1,97.85,56.44,18.11,21
Drone_1,48.88,45.44,4.87,22
Drone_2,55.19,59.3,3.85,57
Drone_2,43.28,23.14,13.56,58
Drone_2,22.4,91.37,14.61,59
Drone_2,66.27,85.94,2.91,60
Drone_2,44.94,42.48,7.68,61
Drone_3,1.2,39.55,5.32,94
Drone_3,5.07,64.85,11.69,95
Drone_3,90.97,61.17,5.46,96
Drone_3,58.26,10.0,8.91,97
Drone_3,76.26,63.15,3.15,98
Drone_4,79.6,81.83,10.81,87
Drone_4,84.1,30.03,14.88,88
Drone_4,60.69,95.07,6.17,89
Drone_4,78.62,81.11,10.34,90
Drone_4,27.38,28.46,8.05,91
Drone_5,75.46,68.84,1.36,93
Drone_5,1.99,19.9,12.15,94
Drone_5,35.0,44.08,4.55,95
Drone_5,48.14,13.01,16.26,96
Drone_5,96.7,42.2,1.71,97
Drone_6,99.11,55.97,18.93,11
Drone_6,92.2,62.63,11.56,12
Drone_6,34.81,21.09,15.05,13
Drone_6,90.33,81.65,16.79,14
Drone_6,18.69,72.65,2.5,15
Drone_7,82.39,63.96,6.8,38
Drone_7,95.16,85.51,3.73,39
Drone_7,49.88,76.77,8.45,40
Drone_7,8.71,57.89,0.98,41
Drone_7,47.16,18.02,6.97,42
Drone_8,37.36,78.8,11.33,72
Drone_8,88.57,84.23,14.54,73
Drone_8,40.87,88.88,0.42,74
Drone_8,3.36,28.05,8.47,75
Drone_8,54.74,62.97,11.26,76
Drone_9,39.09,5.24,11.2,24
Drone_9,54.56,92.82,11.28,25
Drone_9,30.12,32.59,5.57,26
Drone_9,77.88,61.1,18.3,27
Drone_9,5.31,19.11,0.25,28
Drone_10,34.54,6.19,12.45,3
Drone_10,45.06,78.69,3.24,4
Drone_10,88.52,85.98,16.71,5
Drone_10,22.33,86.94,13.63,6
Drone_10,18.31,31.11,12.04,7
Drone_11,63.77,70.17,7.85,1
Drone_11,53.27,51.39,6.73,2
Drone_11,18.1,28.48,10.31,3
Drone_11,81.73,22.85,12.03,4
Drone_11,10.34,52.11,3.26,5
Drone_12,8.65,87.03,18.05,85
Drone_12,1.4,84.48,12.04,86
Drone_12,43.35,37.55,4.87,87
Drone_12,80.52,51.93,7.87,88
Drone_12,38.72,24.27,2.08,89
Drone_13,28.08,27.07,12.19,54
Drone_13,30.71,35.54,13.36,55
Drone_13,88.26,47.6,14.33,56
Drone_13,54.96,46.22,5.03,57
Drone_13,33.99,44.7,7.87,58
Drone_14,12.24,42.45,9.32,29
Drone_14,21.19,32.33,0.45,30
Drone_14,19.75,56.35,14.08,31
Drone_14,62.97,90.68,13.89,32
Drone_14,24.55,98.53,15.27,33
Drone_15,83.95,43.95,1.56,10
Drone_15,21.3,89.16,18.42,11
Drone_15,45.41,51.34,15.4,12
Drone_15,35.95,92.27,9.97,13
Drone_15,6.91,54.27,5.46,14
Drone_16,58.0,35.06,13.04,57
Drone_16,85.12,22.54,8.99,58
Drone_16,70.36,55.56,19.29,59
Drone_16,62.74,84.0,19.72,60
Drone_16,49.92,91.16,11.16,61
Drone_17,75.26,0.47,5.97,15
